//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agreSSIVE 4nessType
// pest control
3765 - 970 3920 3921 3922 5 4 60 111 RANGE 657 656 AGRESSIVE 8
3766 - 620 3920 3921 3922 5 4 60 111 RANGE 657 656 AGRESSIVE 8
3767 - 970 3920 3921 3922 5 4 60 132 RANGE 657 656 AGRESSIVE 8
3768 - 780 3920 3921 3922 5 4 60 132 RANGE 657 656 AGRESSIVE 8
3769 - 970 3920 3921 3922 5 4 60 132 RANGE 657 656 AGRESSIVE 8
3770 - 970 3920 3921 3922 5 4 60 132 RANGE 657 656 AGRESSIVE 8
// torchers
3752 - 180 3882 3880 3881 5 4 60 60 MAGE 646 647 AGRESSIVE 8
3753 - 300 3882 3880 3881 5 4 60 80 MAGE 646 647 AGRESSIVE 8
3754 - 300 3882 3880 3881 5 4 60 80 MAGE 646 647 AGRESSIVE 8
3755 - 830 3882 3880 3881 5 4 60 90 MAGE 646 647 AGRESSIVE 8
3756 - 480 3882 3880 3881 5 4 60 121 MAGE 646 647 AGRESSIVE 8
3757 - 830 3882 3880 3881 5 4 60 121 MAGE 646 647 AGRESSIVE 8
3758 - 630 3882 3880 3881 5 4 60 111 MAGE 646 647 AGRESSIVE 8
3759 - 830 3882 3880 3881 5 4 60 121 MAGE 646 647 AGRESSIVE 8
3760 - 830 3882 3880 3881 5 4 60 121 MAGE 646 647 AGRESSIVE 8
3761 - 830 3882 3880 3881 5 4 60 121 MAGE 646 647 AGRESSIVE 8
//icy bones
10040 - 1750 2125 -1 2124 2 3 0 30 SPECIAL2 -1 -1 AGRESSIVE 8
10041 - 1800 2125 -1 2124 2 3 0 40 SPECIAL2 -1 -1 AGRESSIVE 8
10042 - 1900 2125 -1 2124 2 3 0 50 SPECIAL2 -1 -1 AGRESSIVE 8
10043 - 2000 2125 -1 2124 2 3 0 60 SPECIAL2 -1 -1 AGRESSIVE 8
10044 - 2100 2125 -1 2124 2 3 0 70 SPECIAL2 -1 -1 AGRESSIVE 8
10045 - 2200 2125 -1 2124 2 3 0 80 SPECIAL2 -1 -1 AGRESSIVE 8
10046 - 2300 2125 -1 2124 2 3 0 90 SPECIAL2 -1 -1 AGRESSIVE 8
10047 - 2400 2125 -1 2124 2 3 0 100 SPECIAL2 -1 -1 AGRESSIVE 8
10048 - 2500 2125 -1 2124 2 3 0 110 SPECIAL2 -1 -1 AGRESSIVE 8
10049 - 2600 2125 -1 2124 2 3 0 120 SPECIAL2 -1 -1 AGRESSIVE 8
10050 - 2700 2125 -1 2124 2 3 0 130 SPECIAL2 -1 -1 AGRESSIVE 8
10051 - 2800 2125 -1 2124 2 3 0 140 SPECIAL2 -1 -1 AGRESSIVE 8
10052 - 2900 2125 -1 2124 2 3 0 150 SPECIAL2 -1 -1 AGRESSIVE 8
10053 - 3000 2125 -1 2124 2 3 0 160 SPECIAL2 -1 -1 AGRESSIVE 8
10054 - 3100 2125 -1 2124 2 3 0 170 SPECIAL2 -1 -1 AGRESSIVE 8
10055 - 3200 2125 -1 2124 2 3 0 180 SPECIAL2 -1 -1 AGRESSIVE 8
10056 - 3300 2125 -1 2124 2 3 0 190 SPECIAL2 -1 -1 AGRESSIVE 8
10057 - 3400 2125 -1 2124 2 3 0 250 SPECIAL2 -1 -1 AGRESSIVE 8
15509 - 2000 -1 -1 -1 5 5 60 0 SPECIAL -1 -1 PASSIVE 4
15454 - 2000 -1 -1 -1 5 5 60 0 SPECIAL -1 -1 AGRESSIVE 4
8531 - 10000 -1 12693 12694 5 5 0 322 SPECIAL -1 -1 PASSIVE 4
8528 - 10000 -1 12693 12694 5 5 0 322 SPECIAL -1 -1 AGRESSIVE 4
8529 - 10000 -1 12693 12694 5 5 0 322 SPECIAL -1 -1 AGRESSIVE 4
//TokHaar-Hur
15201 - 900 16098 16173 16178 5 2 60 124 MELEE -1 -1 AGRESSIVE 4
15202 - 1300 16148 16146 16145 5 2 60 194 RANGE -1 2985 AGRESSIVE 4
15203 - 1940 16127 16124 16123 5 2 60 245 SPECIAL -1 -1 AGRESSIVE 4
15204 - 1500 16180 16182 16181 5 2 60 214 MELEE -1 -1 AGRESSIVE 4
15205 - 700 16131 16130 16110 5 3 60 234 SPECIAL -1 -1 AGRESSIVE 4
15206 - 1000 16102 16101 16103 4 4 60 460 MELEE -1 -1 AGRESSIVE 4
15207 - 2000 16134 16135 16111 4 3 60 780 SPECIAL -1 -1 AGRESSIVE 4
15208 - 2500 16204 16201 16188 7 6 1 1014 SPECIAL -1 -1 AGRESSIVE 4
15211 - 12800 -1 16246 16235 4 3 60 1 SPECIAL -1 -1 PASSIVE 4
15212 - 12800 -1 16246 16235 4 3 60 1 SPECIAL -1 -1 PASSIVE 4
//TokHaar-Ket-Dill
15213 - 750 16210 16160 16197 8 3 60 250 MELEE -1 -1 AGRESSIVE 4
//TokHaar-Ket-Dill (after armour broken by pickaxe)
15214 - 750 16210 16160 16197 4 3 60 250 MELEE -1 -1 AGRESSIVE 4
//Har-Aken (Ranged Tentacle)
15209 - 700 16239 16253 16240 4 3 60 230 SPECIAL -1 -1 AGRESSIVE 4
//Har-Aken (Magic Tentacle)
15210 - 700 16252 16253 16243 4 3 60 230 SPECIAL -1 -1 AGRESSIVE 4
//jads jad, TokHaar-Jad
2745 - 2500 16204 16201 16188 7 6 1 998 SPECIAL -1 -1 AGRESSIVE 4
14416 - 1 16204 16201 16188 5 4 1 550 SPECIAL -1 -1 AGRESSIVE 4
//Bork
7133 - 3000 8754 8755 8756 8 3 60 254 MELEE -1 -1 AGRESSIVE 4
7134 - 3000 8754 8755 8756 8 3 60 254 MELEE -1 -1 AGRESSIVE 4
//Summoning 17 out of 74 so far
//Barricade
1532 - 500 -1 -1 -1 4 0 0 0 SPECIAL -1 -1 PASSIVE 4
1533 - 500 -1 -1 -1 4 4 0 0 SPECIAL -1 -1 PASSIVE 4
//War tortoise
6816 - 3480 -1 -1 -1 4 4 0 244 SPECIAL -1 -1 PASSIVE 4
6815 - 3480 -1 -1 -1 4 4 0 244 SPECIAL -1 -1 PASSIVE 4
//Void spinner
7344 - 7540 8183 8185 8184 4 4 0 244 SPECIAL -1 -1 PASSIVE 4
7343 - 7540 8183 8185 8184 4 4 0 244 SPECIAL -1 -1 PASSIVE 4
//PackYak
6874 - 7100 853 851 852 5 3 0 180 MELEE -1 -1 PASSIVE 4
6873 - 7100 5782 5783 5784 5 3 0 180 MELEE -1 -1 PASSIVE 4
//Wolptinger
6870 - 210 8304 8306 8305 5 4 0 220 MAGE -1 -1 PASSIVE 4
6969 - 210 8304 8306 8305 5 4 0 220 MAGE -1 -1 PASSIVE 4
//Unicorn Stallion
6823 - 1000 6376 6375 6377 4 4 0 80 MELEE -1 -1 PASSIVE 4
6822 - 1000 6376 6375 6377 4 4 0 80 MELEE -1 -1 PASSIVE 4
//Spirit Wolf
6829 - 150 8292 8294 8295 5 4 0 40 MELEE -1 -1 PASSIVE 4
6828 - 150 8292 8294 8295 5 4 0 40 MELEE -1 -1 PASSIVE 4
//DreadFowl
6825 - 160 7810 5388 5389 5 4 0 40 MAGE -1 1318 PASSIVE 4
6824 - 160 7810 5388 5389 5 4 0 40 MAGE -1 1318 PASSIVE 4
//Spirit Spider
6841 - 180 5327 5328 5329 4 4 0 30 MELEE -1 -1 PASSIVE 4
6840 - 180 5327 5328 5329 4 4 0 30 MELEE -1 -1 PASSIVE 4
//Thorny Snail
6807 - 280 8143 8145 8143 5 4 0 40 SPECIAL -1 -1 PASSIVE 4
6806 - 280 8143 8145 8143 5 4 0 40 SPECIAL -1 -1 PASSIVE 4
//Spirit Mosquito
7332 - 430 8032 8034 8033 4 4 0 42 MELEE -1 -1 PASSIVE 4
7331 - 430 8032 8034 8033 4 4 0 42 MELEE -1 -1 PASSIVE 4
//Granit Crab
6796 - 390 8104 8105 8106 3 4 0 40 MELEE -1 -1 PASSIVE 4
6795 - 390 8104 8105 8106 3 4 0 40 MELEE -1 -1 PASSIVE 4
//Desert Wyrm
6832 - 470 -1 -1 7797 4 4 0 42 SPECIAL -1 -1 PASSIVE 4
6831 - 470 7795 7796 7797 4 4 0 42 MELEE -1 -1 PASSIVE 4
//Spirit Scorpian
6838 - 670 6254 6255 6256 4 4 0 65 MELEE -1 -1 PASSIVE 4
6837 - 670 6254 6255 6256 4 4 0 65 MELEE -1 -1 PASSIVE 4
//Spriit Tz-keh
7362 - 620 8257 8256 8258 3 3 0 50 SPECIAL -1 -1 PASSIVE 4
7361 - 620 8257 8256 8258 3 3 0 50 SPECIAL -1 -1 PASSIVE 4
//Albino Rat
6848 - 680 4933 4934 4935 4 4 0 50 MELEE -1 -1 PASSIVE 4
6847 - 680 4933 4934 4935 4 4 0 50 MELEE -1 -1 PASSIVE 4
//Spirit Kalphite
6995 - 770 8519 8518 8517 4 4 0 50 SPECIAL -1 -1 PASSIVE 4
6994 - 770 8519 8518 8517 4 4 0 50 SPECIAL -1 -1 PASSIVE 4
//Bunyip
6814 - 400 7741 7742 7740 4 4 0 85 MELEE -1 -1 PASSIVE 4
6813 - 400 7741 7742 7740 4 4 0 85 MELEE -1 -1 PASSIVE 4
//Abbysal Titan
7350 - 6670 7693 7691 7979 4 4 0 229 MELEE -1 -1 PASSIVE 4
7349 - 6670 7693 7691 7979 4 4 0 229 MELEE -1 -1 PASSIVE 4
//Lava Titan
7342 - 5280 7980 7981 7692 4 4 0 140 SPECIAL -1 -1 PASSIVE 4
7341 - 5280 7980 7981 7692 4 4 0 140 SPECIAL -1 -1 PASSIVE 4
//Geyser Titan
7340 - 6200 7879 7878 7880 4 4 0 215 SPECIAL -1 -1 PASSIVE 4
7339 - 6200 7879 7878 7880 4 4 0 215 SPECIAL -1 -1 PASSIVE 4
//Fire Titan
7356 - 4760 7834 7832 7833 4 4 0 152 MAGE -1 -1 PASSIVE 4
2355 - 4760 7834 7832 7833 4 4 0 152 MAGE -1 -1 PASSIVE 4
//Ice Titan
7360 - 4760 8183 8185 8184 4 4 0 152 MELEE -1 -1 PASSIVE 4
7359 - 4760 8183 8185 8184 4 4 0 152 MELEE -1 -1 PASSIVE 4
//Moss Titan 
7358 - 4760 7844 7842 7843 4 4 0 150 MELEE -1 -1 PASSIVE 4
7357 - 4760 7844 7842 7843 4 4 0 150 MELEE -1 -1 PASSIVE 4
//Swamp Titan
7330 - 5560 8222 8224 8226 4 4 0 160 SPECIAL -1 -1 PASSIVE 4
7329 - 5560 8222 8224 8226 4 4 0 160 SPECIAL -1 -1 PASSIVE 4
//Iron Titan
7376 - 6940 7946 7948 7947 4 4 0 230 SPECIAL -1 -1 PASSIVE 4
7375 - 6940 7946 7948 7947 4 4 0 230 SPECIAL -1 -1 PASSIVE 4
//Spirit Terror Bird
6795 - 2330 1010 1011 1012 4 4 0 76 MELEE -1 -1 PASSIVE 4
6794 - 2330 1010 1011 1012 4 4 0 76 MELEE -1 -1 PASSIVE 4
//Lucien custom boss
14256 - 32500 11375 11365 -1 5 2 10 1500 SPECIAL -1 -1 AGRESSIVE 4
1234 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE 4
1233 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE 4
//DT Bouncer
14483 - 1160 6581 6563 6564 4 3 60 140 MELEE -1 -1 AGRESSIVE 4
//DT Black Knight Titan 
14436 - 1420 128 129 131 6 3 60 150 MELEE -1 -1 AGRESSIVE 4
//Evil Chicken
3375 - 1200 2302 2302 2301 4 2 0 50 SPECIAL2 -1 -1 AGRESSIVE 4
// Elvarg
742 - 800 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE 4
//DT Elvarg
14548 - 800 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE 4
//Astea Frostweb
9965 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9966 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9967 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9968 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9969 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9970 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9971 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9972 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9973 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9974 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9975 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9976 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9977 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9978 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9979 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9980 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9981 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9982 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9983 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9984 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9985 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9986 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9987 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9988 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9989 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9990 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9991 - 1750 2080 2079 836 5 4 0 124 SPECIAL -1 -1 AGRESSIVE 4
9992 - 2530 2080 2079 836 5 4 0 177 SPECIAL -1 -1 AGRESSIVE 4
9993 - 2530 2080 2079 836 5 4 0 177 SPECIAL -1 -1 AGRESSIVE 4
9994 - 2530 2080 2079 836 5 4 0 177 SPECIAL -1 -1 AGRESSIVE 4
9995 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
9995 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
9996 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
9997 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
9998 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
9999 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
10000 - 3070 2080 2079 836 5 4 0 197 SPECIAL -1 -1 AGRESSIVE 4
10001 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10002 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10003 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10004 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10005 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10006 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10007 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10008 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10009 - 3500 2080 2079 836 5 4 0 220 SPECIAL -1 -1 AGRESSIVE 4
10010 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE 4
10011 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE 4
10012 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE 4
10013 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE 4
10014 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE 4
10015 - 4000 2080 2079 836 5 4 0 250 SPECIAL -1 -1 AGRESSIVE 4
10016 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
10017 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
10018 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
10019 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
10020 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
10021 - 5000 2080 2079 836 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
//Gluttonous behemoth
9948 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE 4
9949 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE 4
9950 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE 4
9951 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE 4
9952 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE 4
9953 - 2450 13717 13716 13715 5 4 0 135 SPECIAL -1 -1 AGRESSIVE 4
9954 - 3960 13717 13716 13715 5 4 0 169 SPECIAL -1 -1 AGRESSIVE 4
9955 - 3960 13717 13716 13715 5 4 0 169 SPECIAL -1 -1 AGRESSIVE 4
9956 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE 4
9957 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE 4
9958 - 5560 13717 13716 13715 3 4 0 221 SPECIAL -1 -1 AGRESSIVE 4
9959 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE 4
9960 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE 4
9961 - 5560 13717 13716 13715 5 4 0 221 SPECIAL -1 -1 AGRESSIVE 4
9962 - 7000 13717 13716 13715 5 4 0 300 SPECIAL -1 -1 AGRESSIVE 4
9963 - 7000 13717 13716 13715 5 4 0 350 SPECIAL -1 -1 AGRESSIVE 4
9964 - 7000 13717 13716 13715 5 4 0 407 SPECIAL -1 -1 AGRESSIVE 4
//barrow brothers
//dharok maxhit 300 + 380 at 0hp
2026 - 1000 2067 2063 7197 3 3 0 300 MELEE -1 -1 AGRESSIVE 4
2025 - 1050 14223 2079 7197 4 3 0 200 MAGE 2741 2735 AGRESSIVE 4
2027 - 1000 2080 2063 7197 4 3 0 240 MELEE -1 -1 AGRESSIVE 4
2028 - 1000 2075 424 7197 6 3 0 207 RANGE -1 27 AGRESSIVE 4
//Man - 2
1 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE 4
//Black Unicorn - 27
133 - 290 6376 6375 6377 5 1 60 38 MELEE -1 -1 PASSIVE 4
//Man - 2
2 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE 4
//Man - 2
3 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE 4
//Woman - 2
4 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE 4
//Woman - 2
5 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE 4
//Woman - 2
6 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE 4
//Farmer - 7
7 - 120 -1 -1 -1 4 1 60 19 MELEE -1 -1 PASSIVE 4
//Thief - 16
8 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE 4
//Guard - 21
9 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE 4
//Wizard - 9
13 - 140 -1 -1 -1 4 1 60 40 MAGE -1 -1 PASSIVE 4
//Man - 2
16 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE 4
//Al-Kharid warrior - 9
18 - 190 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE 4
//White Knight - 36
19 - 530 -1 -1 -1 8 1 60 60 MELEE -1 -1 PASSIVE 4
//Paladin - 62
20 - 660 -1 -1 -1 5 1 60 89 MELEE -1 -1 PASSIVE 4
//Hero - 69
21 - 880 -1 -1 -1 4 1 60 91 MELEE -1 -1 PASSIVE 4
//Man - 2
24 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE 4
//Woman - 2
25 - 93 422 425 836 5 1 60 15 MELEE -1 -1 PASSIVE 4
//Guard - 20
32 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE 4
//Shipyard worker - 11
38 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE 4
//Shipyard worker - 11
39 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE 4
//Chicken - 1
41 - 30 5387 5388 5389 5 1 60 15 MELEE -1 -1 PASSIVE 4
//Duck - 1
46 - 30 -1 -1 -1 4 1 60 8 MELEE -1 -1 PASSIVE 4
//Rat - 1
47 - 20 -1 -1 -1 5 1 60 15 MELEE -1 -1 PASSIVE 4
//Oomlie bird - 46
48 - 400 -1 -1 -1 5 1 60 50 MELEE -1 -1 PASSIVE 4
//Hellhound - 122
49 - 1150 6562 6563 6564 5 1 60 118 MELEE -1 -1 AGRESSIVE 4
//King Black Dragon - 276
50 - 2400 91 89 92 5 3 60 254 SPECIAL -1 -1 AGRESSIVE 10
//Frost dragon - 166
51 - 1600 13151 13154 13153 5 1 60 213 SPECIAL -1 -1 AGRESSIVE 4
//Baby blue dragon - 48
52 - 510 -1 -1 -1 5 1 60 60 MELEE -1 -1 AGRESSIVE 4
//Red dragon - 152
53 - 1400 12252 12251 12250 5 1 60 144 SPECIAL2 -1 -1 AGRESSIVE 4
//Black dragon - 227
54 - 1900 12252 12251 12250 5 1 60 214 SPECIAL2 -1 -1 AGRESSIVE 4
//Blue dragon - 111
55 - 1050 12252 12251 12250 5 1 60 110 SPECIAL2 -1 -1 AGRESSIVE 4
//Shadow spider - 52
58 - 550 -1 -1 -1 4 1 60 56 MELEE -1 -1 AGRESSIVE 4
//Giant spider - 2
59 - 67 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE 4
//Giant spider - 27
60 - 320 5327 5328 5329 5 1 60 15 MELEE -1 -1 AGRESSIVE 4
//Spider - 1
61 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE 4
//Jungle spider - 44
62 - 500 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE 4
//Deadly red spider - 34
63 - 350 5327 5328 5329 4 1 60 40 MELEE -1 -1 AGRESSIVE 4
//Ice spider - 61
64 - 650 5327 5328 5329 5 2 60 60 MELEE -1 -1 AGRESSIVE 4
//Zombie - 13
73 - 220 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE 4
//Zombie - 18
74 - 240 -1 -1 -1 4 1 60 0 MELEE -1 -1 AGRESSIVE 4
